maturity,tail_metric,heston_improvement_pct_mean,heston_improvement_pct_ci95_lo,heston_improvement_pct_ci95_hi,rough_improvement_pct_mean,rough_improvement_pct_ci95_lo,rough_improvement_pct_ci95_hi,transfer_ratio_pct_mean,transfer_ratio_pct_ci95_lo,transfer_ratio_pct_ci95_hi
1M,ES0.5,52.94120507413097,52.5160899122044,53.32642198499045,-30.88896195386401,-33.49558127437706,-28.596889782073102,-19.408371041825525,-20.609305406330282,-18.26081117094274
1M,ES1,51.8436945087871,51.48964289701098,52.162007873146635,-46.773761954850265,-48.8460610908149,-44.91464318738506,-27.523424367836704,-28.452532121724488,-26.704460991211494
3M,ES0.5,41.205130596334264,40.36398534553192,41.99818283200165,3.233949934893428,2.188730647998699,4.208409745225659,3.7426430364713448,2.4929992978324558,4.982052804445834
3M,ES1,42.72768951122282,42.0391432675387,43.35501501010403,-2.663915500970526,-3.473413507917008,-1.9306685059390014,-2.6653089612243055,-3.414717448187485,-1.945372331779639
