case_name,maturity,seed,product,PFE gap vs Heston,share of PFE gap vs Heston %,WWR-CVA gap vs Heston,share of WWR-CVA gap vs Heston %,WWR delta gap vs Heston,share of WWR delta gap vs Heston %
xva_decision_netting_set,3M,123,ATM vanilla,0.42856519022677997,-46.4231032851353,4.566103717021028e-05,-11.12917290189302,0.00015305805109167188,-99.97727887695015
xva_decision_netting_set,3M,123,forward-start ATM,0.3833031689338524,-41.520223776270626,0.0001939516703415526,-47.27272544852171,0.00016893008143841273,-110.34486420161309
xva_decision_netting_set,3M,123,short DOC,-1.735040572776965,187.94332706140594,-0.0006498951029128043,158.40189835041474,-0.00047508096803329167,310.3221430785633
xva_decision_netting_set,3M,456,ATM vanilla,0.4100777826076287,-48.27293529574548,4.1017878990426415e-05,-10.57243945111635,0.0001478953722522467,-118.66866737586678
xva_decision_netting_set,3M,456,forward-start ATM,0.40706518674366343,-47.91830295187969,0.0001944828884246734,-50.12834921639864,0.00016438396035317604,-131.8988229043954
xva_decision_netting_set,3M,456,short DOC,-1.6666413064531813,196.19123824762517,-0.0006234706317030936,160.70078866751498,-0.0004369081630479256,350.5674902802622
xva_decision_netting_set,3M,789,ATM vanilla,0.4275755702964892,-49.18404812677121,0.00010266148784611462,-25.754827641403807,0.00021197426094605488,-150.15825320160914
xva_decision_netting_set,3M,789,forward-start ATM,0.4037263002269018,-46.44066490195889,0.0002525467659203109,-63.3567520219582,0.00022737369712773868,-161.06690044496366
xva_decision_netting_set,3M,789,short DOC,-1.7006397688485126,195.6247130287301,-0.0007538189114478407,189.111579663362,-0.0005805151975870615,411.22515364657283
xva_decision_netting_set,1Y,123,ATM vanilla,1.4329788347276011,400.4154042894756,-0.00033656587179214936,4.624196770827184,0.001967421783582418,-69.16114792539118
xva_decision_netting_set,1Y,123,forward-start ATM,1.6835598089608688,470.43491865581143,0.0025773141371081,-35.410624513892024,0.0020929875364748135,-73.57518444903948
xva_decision_netting_set,1Y,123,short DOC,-2.7586655900105335,-770.8503229452871,-0.009519112237962035,130.78642774306485,-0.006905101524566054,242.73633237443067
xva_decision_netting_set,1Y,456,ATM vanilla,1.5756515316330262,145.16722903215955,-0.0004446023797051446,6.048698729912445,0.0019476743873562408,-69.84397706935991
xva_decision_netting_set,1Y,456,forward-start ATM,1.869733501102461,172.2614587898982,0.0025607122315791375,-34.837818081621855,0.0020870956598184887,-74.84365063905354
xva_decision_netting_set,1Y,456,short DOC,-2.3599806049331455,-217.42868782205775,-0.00946649048013154,128.78911935170942,-0.006823377553620225,244.68762770841343
xva_decision_netting_set,1Y,789,ATM vanilla,1.6569006252601586,174.78487828049563,-0.0005830494055935609,7.989118087249982,0.0018486128525121853,-68.55687835879023
xva_decision_netting_set,1Y,789,forward-start ATM,1.7680684456243405,186.51186640207393,0.0024078066629466544,-32.99249013377363,0.001966373926349199,-72.92411598968378
xva_decision_netting_set,1Y,789,short DOC,-2.4770034107195755,-261.29674468256957,-0.009122801912921058,125.00337204652365,-0.006511452686829844,241.480994348474
